title,company,salary,summary
Data Scientist,Accenture,NA,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
"Management Associate, Europe/Latin America",MyFinB Holdings Pte Ltd,NA,"Job Summary Want to have the prospect of working on a bank project and travelling to Europe with a high growth, promising start-up in an exciting space..."
Data Analyst Intern,Clipperdata Asia Pacific Pte. Ltd.,NA,We are currently looking for interns to assist with image interpretation and data cleaning for some of our company's proprietary product in the energy space....
URGENT! 3 months Temp Data entry (mon-fri),Intropls Pte Ltd,$8 an hour,Temporary Data entry needed!!!*. Consolidation and perform data entry into in-house system. Assist Executive to generate data and provide necessary reports....
Data Entry Clerk (Entry Level) Start Urgently,Careeredge Ltd.,NA,We are looking for a bright and motivated data entry workers to join our company (Careeredge) today. Responsibilities and Duties:....
"Machine Learning / Deep Learning Developer , SAP Singapore",SAP,NA,Comfortably handle multi-terabyte data sets in scale-up and scale-out environments. Proficiency in handling of multi-terabyte datasets in big data frameworks....
Part-Time Admin Assistant,Ubi,NA,Looking for an experienced permanent part-time admin assistant for an accounting company. Location: Taiseng / Ubi - Vertex building Responsibilities: ...
Data Entry Clerk,Timezone Singapore,NA,Able to start work immediately Data entry Be able to type accurately and reasonably fast Knowledge of MS Word and Excel Training will be provided...
"Director (Lead), Learning & Development",KPMG Services Limited,NA,"Ability to develop surveys and analyze data to make recommendations. Director (Lead), Learning & Development...."
HR Operations Consultant,Siemens AG,NA,"Monitors the effectiveness (accuracy and completeness) of employee data management and ensures issues are resolved, in collaboration with the Delivery Center..."
Admin Assistant,EC Family Clinic,NA,"Administrative duties, data entry and documentation. Perform checking on purchase items and data entry of invoices and payment...."
Night Operations Coordinator,i.Log,NA,Night Operations Coordinator Foreigners and Singaporeans are welcomed. Coordinating of deliveries Data Entry Job Type: Full...
SG-Consultant-Strategy,Deloitte,NA,"Managing data collection and analysis; A base level of knowledge in business strategy,marketing, finance, operations, and data analysis techniques;..."
"Chief Digital Officer, Corporate Solutions APAC",JLL,NA,You will be at the forefront of designing an innovative and comprehensive strategy to capture the benefits of leveraging enabling technologies and strategic...
Data Center Lead,Total IT Consult,"$4,000 - $4,500 a month",Point of contact for Data Centre Issue escalations. Good knowledge about Data Centre facilities (power and cooling)....
Data/Statistics Analysis Intern,StarHub,NA,Involve in Data Analytics. Analytical mind to understand data. Intelligent statistic reporting - generating meaningful analysis from Excel data....
Data Analysis [Intern or Full Time],Flocations,NA,Ability to dream of data visualisation. Visualise data for internal and/or external communication. Explore data stored in our MySQL database to extract useful...
Project Engineer – Data Center / M&E / Construction,MCI Career Services Pte Ltd,"$2,500 - $4,000 a month",M&E Data Center project:. Established M&E engineering company specialising in Data Centres. Perform Testing & Commissioning work for M&E Infrastructures...
Part Time Data Entry - $7 per hour,The Supreme HR Advisory Pte Ltd,NA,Mark Wong Business Development Manager Reg No: R1441357 THE SUPREME HR ADVISORY PTE LTD EA No: 14C7279 Job Type: Part...
Machine Learning Engineer,Singapore Technologies Dynamics Pte Ltd,NA,"2-3 years of industry experience in engineering, data science or related areas. Subject matter expert in machine learning and/or deep learning...."
Client Onboarding Officer,BNP Paribas,NA,Ensure timely processing of static data updating request. Appropriate and confidential handling of client data and information. Implementation and Process....
"Intern, Data Science",Lazada,NA,"Undergraduates/Masters in the field of Computer Science, Engineering, Programming, Data Analytics, Statistics, Mathematics, Machine Learning or related fields...."
Quantitative Analyst,Tower Research Capital LLC,NA,"Build, clean and organize data sets; Research financially-related data sets in order to find statistically significant patterns that can be used to build..."
Data Analyst,Cargill,NA,"6-8 years proven hands-on experience in data conversion, data warehousing or business intelligence systems/MIS...."
Clinical Data Project Manager,Abbott Laboratories,NA,"For clinical studies, data integration and data utilization, to manage as an liaison person between Abbott and the CRO, or within Abbott as a process lead, the..."
Admin - Data Entry,Dynamic Safety Pte Ltd,"$1,800 - $2,000 a month",Reporting problems with the data. Organizing files and collecting data to be entered into the computer. Analyzing thedata for errors....
Data Scientist,Singapore Pools,NA,Data visualization tools:. Knowledge of Big Data frameworks/ technologies:. Postgraduate degree majoring in data analytics or machine learning preferred....
Data Contribution Support Representative,Bloomberg,NA,"Data Contribution Support Representative - Singapore. We form an integral part of the Global Data department, and we're responsible for acquiring and publishing..."
"Intern, Fraud & Data Analytics",Lazada,NA,Strong data analytical skillset. Experience with data visualisation software such as QlikView or Tableau is a plus....
Data engineer intern,PropertyGuru,NA,"In this intern program, you will be part of our ace data team and work with most advanced data technologies. Has passion in programming and data...."
DATA SCIENCE DEVELOPER AND CO-FOUNDER,QRInno Suzhou China,NA,Work on big data analytics and visualization. Work with data developers and administrator as a team. At least 2 years relevant experience on Big Data analytics...
Business Intelligence (BI) Engineer,Amazon.com,NA,"PostgreSQL and MySQL), Python, C/C++ Java, Perl, machine learning and data mining. Maintain thorough knowledge of existing and emerging 3rd party data sources..."
Analyst,Sojern,NA,"Advanced MS Excel skills including complex formulas, pivot tables, data filters/sorts and basic macros. Strong analytical capability with ability to analyse..."
